68.181816% of enrollment period has elapsed.
Course Enrollemnt Projected Cap
CS112  4          0         25 
CS120G 3          0         30 
CS120G 1          0         30 
CS121G 29         0         30 
CS121G 5          0         30 
CS150  19         0         40 
CS150  0          0         30 
CS170  17         0         30 
CS250  19         0         25 
CS250  3          0         25 
CS252  23         0         60 
CS270  16         0         30 
CS330  7          0         30 
CS330  23         0         30 
CS350  24         0         30 
CS350  4          0         30 
CS355  20         0         35 
CS361  24         0         40 
CS361  0          0         50 
CS367  0          0         20 
CS367  0          0         20 
CS367  1          0         20 
CS368  0          0         40 
CS368  0          0         20 
CS368  0          0         20 
CS381  18         0         25 
CS381  1          0         25 
CS390  7          0         9  
CS417  20         0         50 
CS462  29         0         30 
CS462  30         0         30 
CS462  9          0         30 
CS463  30         0         30 
CS471  34         0         35 
CS497  0          0         10 
CS497  0          0         10 
CS497  0          0         3  
CS497  0          0         10 
CS497  0          0         10 
CS497  0          0         5  
CS497  0          0         5  
CS517  20         0         50 
CS562  29         0         30 
CS562  9          0         30 
CS563  30         0         30 
CS571  34         0         35 
CS597  0          0         5  
CS620  18         0         30 
CS667  0          0         20 
CS667  0          0         20 
CS667  0          0         20 
CS669  1          0         20 
CS669  0          0         20 
CS669  0          0         20 
CS690  0          0         15 
CS690  3          0         50 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  1          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         20 
CS697  0          0         5  
CS697  11         0         5  
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS698  0          0         20 
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  1          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS699  0          0         5  
CS773  11         0         30 
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS791  0          0         5  
CS873  11         0         30 
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS891  0          0         5  
CS896  0          0         10 
CS896  0          0         5  
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  1          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  2          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         20 
CS899  0          0         5  
CS899  0          0         5  
CS899  0          0         5  
CS899  0          0         5  
CS899  0          0         5  
CS899  0          0         5  
CS899  0          0         1  
CS899  0          0         5  
CS899  0          0         5  
CS899  0          0         5  
CS999  0          0         20 
